file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
2030500C.CAD,4081,0ae909c377f7,2030500,PLANT LOOP,98,98,0,2644,0,40,100,10,1,0,2,2,0,2,14,0,71,57,8,7,0,true,4,1
2030504C.CAD,2296,01b60a1e919d,2030504,DIGITAL INPUT SLAVE,54,54,0,1974,0,17,81,16,0,14,14,14,0,14,14,0,23,20,2,2,0,true,2,1
2030508C.CAD,2116,6ff30e53cf43,2030508,DIGITAL INPUT SLAVE,50,50,0,1794,0,15,73,14,0,12,12,12,0,12,12,0,23,18,2,2,0,true,2,1
2030510C.CAD,2239,df58852a0897,2030510,DIGITAL INPUT SLAVE,52,52,0,1918,0,15,79,16,0,14,14,14,0,14,14,0,21,14,2,2,5,true,2,1
2030512C.CAD,2240,62208f583084,2030512,DIGITAL INPUT SLAVE,52,52,0,1918,0,15,79,16,0,14,14,14,0,14,14,0,21,16,2,2,4,true,2,1
2030519C.CAD,2240,263c00000e98,2030519,DIGITAL INPUT SLAVE,52,52,0,1918,0,15,79,16,0,14,14,14,0,14,14,0,21,18,2,2,2,true,2,1
2030520C.CAD,2268,0f2f2cd8ba4c,2030520,DIGITAL INPUT SLAVE,53,53,0,1946,0,16,80,16,0,14,14,14,0,14,14,0,22,19,2,2,1,true,2,1
2030541C.CAD,4152,9f4970add514,2030541,NOT USED,107,107,0,3644,0,35,136,21,2,15,15,15,0,15,22,0,61,41,3,3,1,true,2,1
2030542C.CAD,3623,76f38826f3e3,2030542,NOT USED,86,86,0,3060,0,35,115,21,2,15,15,15,0,15,22,0,40,43,3,3,2,true,2,1
2030543C.CAD,3260,e499286cff10,2030543,NOT USED,75,75,0,2752,0,24,104,21,2,15,15,15,0,15,22,0,29,43,3,3,2,true,2,1
2030544C.CAD,3372,a681eff994f2,2030544,NOT USED,79,79,0,2864,0,28,108,21,2,15,15,15,0,15,22,0,33,42,3,3,0,true,2,1
2030545C.CAD,3567,7abfb555cf6b,2030545,NOT USED,83,83,0,2976,0,31,112,21,2,15,15,15,0,15,22,0,37,42,3,3,0,true,2,1
2030546C.CAD,3316,571537ee4f7c,2030546,NOT USED,77,77,0,2808,0,26,106,21,2,15,15,15,0,15,22,0,31,44,3,3,0,true,2,1
2030547C.CAD,3232,120fb25d2a7b,2030547,NOT USED,74,74,0,2724,0,23,103,21,2,15,15,15,0,15,22,0,28,43,3,3,0,true,2,1
2030570C.CAD,3882,30bc496afa71,2030570,DESIGN DATA,107,107,0,3262,0,32,116,26,6,2,5,5,5,1,23,0,50,76,15,15,0,true,4,1
2030572C.CAD,6427,510a3f96c49f,2030572,DESIGN DATA,184,184,0,5406,0,76,199,48,12,2,9,9,4,4,61,0,61,171,34,33,1,true,4,1
2030577C.CAD,5763,362ae7362d73,2030577,XMTR SELECT,158,158,0,4690,0,53,165,44,9,3,4,4,4,1,38,0,65,173,28,28,0,true,4,1
2030578C.CAD,4404,bcee9b45c30e,2030578,DRUM LEVEL CONTROL,119,119,0,3828,0,38,141,25,11,2,12,12,7,5,31,0,50,68,9,9,0,true,4,1
20305A5C.CAD,4053,aaf8f53e695a,20305A5,FINAL STEAM TEMPERATURE,113,113,0,3442,0,36,131,30,8,2,10,10,5,5,35,0,38,75,17,17,0,true,2,1
20305D9C.CAD,1483,72b02df28f1b,20305D9,PHOSPHATE TANK LEVEL,37,37,0,1148,0,7,39,5,1,1,2,2,1,1,2,0,27,4,1,1,0,true,3,1
20305E1C.CAD,1675,b759909254bb,20305E1,HYDRAZINE TANK LEVEL,45,45,0,1340,0,8,47,5,1,1,2,2,1,1,2,0,35,4,1,1,0,true,3,1
20305E2C.CAD,1530,95a6b4c92cc2,20305E2,SODIUM HYDROXIDE LEVEL,40,40,0,1222,0,5,42,5,1,1,2,2,1,1,3,0,29,4,1,1,0,true,2,1
20305J5C.CAD,4661,6e5898050408,20305J5,DESIGN DATA,129,129,0,3928,0,42,139,33,7,3,6,6,5,1,30,0,57,106,18,18,0,true,4,1
20305K5C.CAD,4641,195b54b3c781,20305K5,DESIGN DATA,128,128,0,3908,0,42,138,33,7,3,6,6,5,1,30,0,56,106,18,18,0,true,4,1
